INFO    2022-10-27 04:23:17,725 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 04:40:25,245 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 04:56:15,396 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 04:59:37,657 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 04:59:41,067 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 04:59:41,428 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 04:59:53,065 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 04:59:53,378 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:00:30,982 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:00:31,248 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:00:35,900 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:00:36,163 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:00:40,759 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:00:41,039 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:01:04,955 [http-nio-8090-exec-10] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:01:05,296 [http-nio-8090-exec-10] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:02:58,251 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 05:03:19,259 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
